HEADING,DATE,NEWS,text,predicted_label
 USSR WHEAT BONUS OFFER SAID STILL UNDER DEBATE," WASHINGTON, March 6 -"," The Reagan administration continues  to debate whether to offer subsidized wheat to the Soviet  Union, but would need assurances from the Soviets that they  would buy the wheat before the subsidy offer would be made, a  senior U.S. Agriculture Department official said.  ""I think it still is under active debate whether or not it  would be advisable"" to make an the export enhancement offer to  the Soviets, Thomas Kay, administrator of the department's  Foreign Agriculture Service, told Reuters.  ""We'd need some assurances from them (the Soviets) that they  would buy if offered"" the wheat under the subsidy plan, he said.  Kay called reports that such an offer was imminent ""premature.""  The Reagan administration's cabinet-level Economic Policy  Council is set to meet today to discuss, among other matters,  agricultural policy but is not expected to address a wheat  subsidy offer to the Soviet Union, administration officials  said earlier.  Reuter ",ussr wheat bonus offer said still under debate the reagan administration continues to debate whether to offer subsidized wheat to the soviet union but would need assurances from the soviets that they would buy the wheat before the subsidy offer would be made a senior u s agriculture department official said i think it still is under active debate whether or not it would be advisable to make an the export enhancement offer to the soviets thomas kay administrator of the department s foreign agriculture service told reuters we d need some assurances from them the soviets that they would buy if offered the wheat under the subsidy plan he said kay called reports that such an offer was imminent premature the reagan administration s cabinet level economic policy council is set to meet today to discuss among other matters agricultural policy but is not expected to address a wheat subsidy offer to the soviet union administration officials said earlier reuter,1
 HAITIAN CANE PLANTERS PROTEST SUGAR MILL CLOSURE," PORT-AU-PRINCE, April 13 -"," About 2,000 sugar cane planters  marched to Port-au-Prince to protest against the closure of  Haiti's largest sugar mill and second biggest employer.  The Haitian American Sugar Company closed on Friday because  of a huge surplus of unsold sugar. The firm said Haiti has been  flooded with smuggled refined and unrefined sugar from the  Dominican Republic and refined U.S. Sugar from Miami.  The closure idled 3,500 factory workers and left 30,000  small cane planters with no outlet for their cane. The  protesters blamed Finance Minister Lesly Delatour for the  closure, saying his policies have hurt Haitian businesses.  REUTER ",haitian cane planters protest sugar mill closure about sugar cane planters marched to port au prince to protest against the closure of haiti s largest sugar mill and second biggest employer the haitian american sugar company closed on friday because of a huge surplus of unsold sugar the firm said haiti has been flooded with smuggled refined and unrefined sugar from the dominican republic and refined u s sugar from miami the closure idled factory workers and left small cane planters with no outlet for their cane the protesters blamed finance minister lesly delatour for the closure saying his policies have hurt haitian businesses reuter,1
 U.S. URGES JAPAN TO OPEN FARM MARKET FURTHER," TOKYO, April 17 -"," U.S. Agriculture Secretary Richard Lyng  has asked Japan to open its farm market further to help  Washington cut its trade deficit and ease protectionist  pressures, an Agriculture Ministry official told reporters.  Hideo Maki, Director General of the ministry's Economic  Affairs Bureau, quoted Lyng as telling Agriculture Minister  Mutsuki Kato that the removal of import restrictions would help  Japan as well as the United States.  The meeting with Kato opened a 12-day visit to Japan by  Lyng, who is here to dicuss farm trade.  However, Maki quoted Kato as replying that Japan was  already the world's largest grain importer.  Kato added Japan is the largest customer for U.S. Grain and  depended on domestic output for only 53 pct of its food  requirements in 1985.  Lyng said the U.S. Put high priority on talks on 12 farm  products named in U.S. Complaints against Japan to the General  Agreement on Tariffs and Trade (GATT) last year, as well as on  beef, citrus products and rice.  Kato said Japan will maintain its current level of  self-sufficiency and will try not to produce surplus rice  because potential production is higher than domestic demand.  The world farm market suffers from surpluses because of  rising production by exporting countries, he added.  Lyng said the U.S. Has been trying to reduce farm product  output with expensive programs, Maki said.  Maki said the U.S. And Japan will hold detailed discussions  on each trade item as well as a new round of GATT trade talks  at a meeting on April 20, in which U.S. Trade Representative  Clayton Yeutter will join.  REUT ER ",u s urges japan to open farm market further u s agriculture secretary richard lyng has asked japan to open its farm market further to help washington cut its trade deficit and ease protectionist pressures an agriculture ministry official told reporters hideo maki director general of the ministry s economic affairs bureau quoted lyng as telling agriculture minister mutsuki kato that the removal of import restrictions would help japan as well as the united states the meeting with kato opened a day visit to japan by lyng who is here to dicuss farm trade however maki quoted kato as replying that japan was already the world s largest grain importer kato added japan is the largest customer for u s grain and depended on domestic output for only pct of its food requirements in lyng said the u s put high priority on talks on farm products named in u s complaints against japan to the general agreement on tariffs and trade gatt last year as well as on beef citrus products and rice kato said japan will maintain its current level of self sufficiency and will try not to produce surplus rice because potential production is higher than domestic demand the world farm market suffers from surpluses because of rising production by exporting countries he added lyng said the u s has been trying to reduce farm product output with expensive programs maki said maki said the u s and japan will hold detailed discussions on each trade item as well as a new round of gatt trade talks at a meeting on april in which u s trade representative clayton yeutter will join reut er,1
 NORANDA COPPER MINE SHUT DOWN AFTER FIRE," TORONTO, April 2 -"," Noranda Inc said production at its  Murdochville, Quebec copper mine was shut down by the fire that  broke out last night, trapping 44 miners and killing one.  Noranda spokesman Denis Morin said it was impossible to  judge how long the shutdown might last but said he thought it  could be at least one week.  The mine produced 1,792,000 tonnes of ore in 1986, Morin  said. It has a mineral inventory of 35,065,000 tonnes.  In the mine's three zones last year, copper grade was 1.10  pct at Needle Mountain, 0.30 pct at Copper Mountain Oxide and  1.32 pct at Murdochville, Morin said.  Another Noranda spokesman said the smelter at Murdochville,  which has not been shut down, has the capacity to treat 218,000  tonnes of mineral concentrate per year.  The smelter treats ore from other mines as well as product  from the Murdochville facility, he said.  The fire broke out last night in the mine which is situated  in the Gaspe district of eastern Quebec.  Reuter ",noranda copper mine shut down after fire noranda inc said production at its murdochville quebec copper mine was shut down by the fire that broke out last night trapping miners and killing one noranda spokesman denis morin said it was impossible to judge how long the shutdown might last but said he thought it could be at least one week the mine produced tonnes of ore in morin said it has a mineral inventory of tonnes in the mine s three zones last year copper grade was pct at needle mountain pct at copper mountain oxide and pct at murdochville morin said another noranda spokesman said the smelter at murdochville which has not been shut down has the capacity to treat tonnes of mineral concentrate per year the smelter treats ore from other mines as well as product from the murdochville facility he said the fire broke out last night in the mine which is situated in the gaspe district of eastern quebec reuter,-1
 17 MISSING NORANDA MINERS FOUND ALIVE," MURDOCHVILLE, Que., April 2-"," Seventeen miners who were  missing in a copper mine fire were found today and efforts were  underway to rescue them and 29 others who were trapped but safe  in an underground lunch room, officials said.  The mine's owner, Noranda Inc. & lt;NOR > , said one miner died  in the fire, six miners escaped unharmed, 29 made it to an  underground lunch room, where they had air and water, and 17  were later found safe in other lunch rooms.  Reuter ",missing noranda miners found alive seventeen miners who were missing in a copper mine fire were found today and efforts were underway to rescue them and others who were trapped but safe in an underground lunch room officials said the mine s owner noranda inc lt nor said one miner died in the fire six miners escaped unharmed made it to an underground lunch room where they had air and water and were later found safe in other lunch rooms reuter,-1
 BANGLADESH SUGAR PRODUCTION ALMOST DOUBLES," DHAKA, March 7 -"," Bangladesh's sugar production increased by  nearly 60,000 tonnes over last year's season to total 140,000  tonnes at the end of this year's season, the Sugar and Food  Industries Corp said.  The increased output will enable Bangladesh to cut imports.  Corporation officials told Reuters the country has already  imported 37,000 tonnes of sugar and will buy 113,000 tonnes  more to make up shortfall in the 1986/87 year ending June 30.  Imports in 1985/86 totalled 224,000 tonnes, of which nearly  100,000 tonnes are still in stock, they said without giving  further details.  REUTER ",bangladesh sugar production almost doubles bangladesh s sugar production increased by nearly tonnes over last year s season to total tonnes at the end of this year s season the sugar and food industries corp said the increased output will enable bangladesh to cut imports corporation officials told reuters the country has already imported tonnes of sugar and will buy tonnes more to make up shortfall in the year ending june imports in totalled tonnes of which nearly tonnes are still in stock they said without giving further details reuter,-1
 PERU TO MAINTAIN SILVER SALES FREEZE," LIMA, April 24 -"," Energy and mines minister, Wilfredo  Huayta, said Peru would maintain its freeze on new sales of  silver until the price of the precious metal reaches ""the true  value this raw material should have.""  He spoke to reporters at the presidential palace after  meeting president Alan Garcia, whom he said recently spoke by  telephone with Mexican president Miguel de la Madrid. Mexico  and Peru are the world's two largest silver producers.  Huayta, asked what the true price level of silver should  be, repled: ""well, this cannot be predicted.""  He said Minero Peru Comercial (Minpeco), the government's  minerals marketing arm, would closely study the price of silver  in the world market.  Last Tuesday, the government instructed Minpeco, which  handles all Peru's exports of refined silver and state-  produced ore, to immediately freeze all new silver sales until  the metal's price reached equilibrium in the world market.  Peru plans to produce 63 mln ounces of silver this year, and  is the largest producer of the precious metal after Mexico.  Huayta said both nations' central banks would coordinate  their work, but did not elaborate how they would do this.  Peruvian central bank president Leonel Figueroa and the head  of Bank of Mexico, Miguel Mancera Aguayo, met in Mexico City  yesterday to coordinate actions aimed at consolidating the  upward trend in the price of silver, the official newspaper El  Peruano said today.  Huayta said his Mexican counterpart, minister of oil, mines  and parastatal industry, Alfredo del Mazo, should be in Lima on  a visit at a nearby date.  Huayta added Peru did not want to see great fluctuations in  the price of silver, but declined to comment on what Peru would  like to see as a ceiling for the precious metal's price.  Silver bullion climbed to nearly 10.00 dlrs an ounce today  from about 5.70 dlrs an ounce a month ago.  Reuter ",peru to maintain silver sales freeze energy and mines minister wilfredo huayta said peru would maintain its freeze on new sales of silver until the price of the precious metal reaches the true value this raw material should have he spoke to reporters at the presidential palace after meeting president alan garcia whom he said recently spoke by telephone with mexican president miguel de la madrid mexico and peru are the world s two largest silver producers huayta asked what the true price level of silver should be repled well this cannot be predicted he said minero peru comercial minpeco the government s minerals marketing arm would closely study the price of silver in the world market last tuesday the government instructed minpeco which handles all peru s exports of refined silver and state produced ore to immediately freeze all new silver sales until the metal s price reached equilibrium in the world market peru plans to produce mln ounces of silver this year and is the largest producer of the precious metal after mexico huayta said both nations central banks would coordinate their work but did not elaborate how they would do this peruvian central bank president leonel figueroa and the head of bank of mexico miguel mancera aguayo met in mexico city yesterday to coordinate actions aimed at consolidating the upward trend in the price of silver the official newspaper el peruano said today huayta said his mexican counterpart minister of oil mines and parastatal industry alfredo del mazo should be in lima on a visit at a nearby date huayta added peru did not want to see great fluctuations in the price of silver but declined to comment on what peru would like to see as a ceiling for the precious metal s price silver bullion climbed to nearly dlrs an ounce today from about dlrs an ounce a month ago reuter,-1
 CHINA SULPHUR-IRON MINE STARTS PRODUCTION," PEKING, April 13 -"," China's largest sulphur-iron mine has  started trial production at Yunfu in the southern province of  Guangdong, the China Daily said.  It said the mine has an annual output capacity of three mln  tonnes of sulphur-iron ore, which can be used without  processing because of its high quality.  REUTER ",china sulphur iron mine starts production china s largest sulphur iron mine has started trial production at yunfu in the southern province of guangdong the china daily said it said the mine has an annual output capacity of three mln tonnes of sulphur iron ore which can be used without processing because of its high quality reuter,-1
 CBT METALS/FINANCIALS DELIVERY LOCATIONS," Chicago, April 3 -"," The following deliveries are scheduled  for April 6 against Chicago Baord of Trade Futures -  Silver - 392 lots at Chicago, Illinois.  Kilo Gold - 21 lots. 16 at Chicago, Illinois, 5 at New  York, New York.  Reuter ",cbt metals financials delivery locations the following deliveries are scheduled for april against chicago baord of trade futures silver lots at chicago illinois kilo gold lots at chicago illinois at new york new york reuter,1
 SRI LANKAN TEA WORKERS LAUNCH ONE-DAY PROTEST," COLOMBO, June 1 -"," Thousands of tea workers of Indian origin  went on strike today to press demands for citizenship and  voting rights in Sri Lanka, a union statement said.  The Ceylon Workers Congress (CWC) said its 400,000 members  launched a prayer campaign at temples and other places in a  non-violent protest to get the authorities to expedite  citizenship procedures.  A CWC spokesman said a three-day campaign was suspended  after a Cabinet committee promised to speed up procedures under  a new set of regulations. Trade sources said the strike did not  affect production or today's Colombo auction.  Reuter ",sri lankan tea workers launch one day protest thousands of tea workers of indian origin went on strike today to press demands for citizenship and voting rights in sri lanka a union statement said the ceylon workers congress cwc said its members launched a prayer campaign at temples and other places in a non violent protest to get the authorities to expedite citizenship procedures a cwc spokesman said a three day campaign was suspended after a cabinet committee promised to speed up procedures under a new set of regulations trade sources said the strike did not affect production or today s colombo auction reuter,1
